sentence,drug
I have a prescription for crizotinib to treat my ROS1-positive lung cancer,crizotinib
My friend takes sunitinib to treat her kidney cancer,sunitinib
I always take pazopanib with or without food,pazopanib
I have a prescription for cabozantinib to treat my thyroid cancer,cabozantinib
My doctor recommended taking lenvatinib to treat my liver cancer,lenvatinib
I always take sorafenib with a low-fat meal,sorafenib
I have a prescription for regorafenib to treat my colorectal cancer,regorafenib
My friend takes ramucirumab to treat her stomach cancer,ramucirumab
I always take bevacizumab with a saline flush,bevacizumab
I have a prescription for cetuximab to treat my head and neck cancer,cetuximab
My doctor recommended taking pembrolizumab to treat my melanoma,pembrolizumab
I always take nivolumab with or without food,nivolumab
I have a prescription for ipilimumab to treat my advanced melanoma,ipilimumab
My friend takes atezolizumab to treat her bladder cancer,atezolizumab
I always take durvalumab with a saline flush,durvalumab
I have a prescription for avelumab to treat my Merkel cell carcinoma,avelumab
































































